id,spam,thumbnails
m1G02jg5_Zk,0,https://i.ytimg.com/vi/m1G02jg5_Zk/maxresdefault.jpg
iA6enVQvNgw,0,https://i.ytimg.com/vi/iA6enVQvNgw/maxresdefault.jpg
nzhjBFhEwvg,0,https://i.ytimg.com/vi/nzhjBFhEwvg/maxresdefault.jpg
AI4RfjL6r2o,0,https://i.ytimg.com/vi/AI4RfjL6r2o/maxresdefault.jpg
EHmBf6TSLew,0,https://i.ytimg.com/vi/EHmBf6TSLew/maxresdefault.jpg
Sqo0pOd4dnI,1,https://i.ytimg.com/vi/Sqo0pOd4dnI/maxresdefault.jpg
jK7xrgOeOQg,1,https://i.ytimg.com/vi/jK7xrgOeOQg/maxresdefault.jpg
feAfP_MWz5g,1,https://i.ytimg.com/vi/feAfP_MWz5g/hqdefault.jpg
gnNyEBdBkO4,1,https://i.ytimg.com/vi/gnNyEBdBkO4/maxresdefault.jpg
mAg7Qs-XifE,1,https://i.ytimg.com/vi/mAg7Qs-XifE/maxresdefault.jpg
1DL1xnmkbJM,1,https://i.ytimg.com/vi/1DL1xnmkbJM/maxresdefault.jpg
h6sbddOaI88,1,https://i.ytimg.com/vi/h6sbddOaI88/maxresdefault.jpg
B75deAvCw9o,1,https://i.ytimg.com/vi/B75deAvCw9o/maxresdefault.jpg
97Z37QRz2a4,1,https://i.ytimg.com/vi/97Z37QRz2a4/maxresdefault.jpg
YgEKUE9vwPk,1,https://i.ytimg.com/vi/YgEKUE9vwPk/maxresdefault.jpg
QuS0HqXx9sI,1,https://i.ytimg.com/vi/QuS0HqXx9sI/maxresdefault.jpg
Gs9saVFwyno,1,https://i.ytimg.com/vi/Gs9saVFwyno/maxresdefault.jpg
QpuVeL9IKCk,1,https://i.ytimg.com/vi/QpuVeL9IKCk/hqdefault.jpg
6ixsQInp11U,1,https://i.ytimg.com/vi/6ixsQInp11U/maxresdefault.jpg
PvOi6uxtLIc,1,https://i.ytimg.com/vi/PvOi6uxtLIc/maxresdefault.jpg
WsZllvBTNvA,1,https://i.ytimg.com/vi/WsZllvBTNvA/maxresdefault.jpg
cpEA1050d_s,1,https://i.ytimg.com/vi/cpEA1050d_s/maxresdefault.jpg
qHWfP56Xo2E,1,https://i.ytimg.com/vi/qHWfP56Xo2E/hqdefault.jpg
ixpI0jBM_ps,1,https://i.ytimg.com/vi/ixpI0jBM_ps/maxresdefault.jpg
z-6Ol9Gu2Bw,1,https://i.ytimg.com/vi/z-6Ol9Gu2Bw/maxresdefault.jpg
aj5WXrUfb0U,1,https://i.ytimg.com/vi/aj5WXrUfb0U/hqdefault.jpg
SUFrcNpFYaw,1,https://i.ytimg.com/vi/SUFrcNpFYaw/hqdefault.jpg
lGTZf4AuaRY,1,https://i.ytimg.com/vi/lGTZf4AuaRY/hqdefault.jpg
ayXCcOOFWCk,1,https://i.ytimg.com/vi/ayXCcOOFWCk/maxresdefault.jpg
fyzUXGmccKI,1,https://i.ytimg.com/vi/fyzUXGmccKI/maxresdefault.jpg
T7aPZo09ToM,1,https://i.ytimg.com/vi/T7aPZo09ToM/maxresdefault.jpg
gU_D_SkxpOY,1,https://i.ytimg.com/vi/gU_D_SkxpOY/maxresdefault.jpg
XNE0jrfZs28,1,https://i.ytimg.com/vi/XNE0jrfZs28/maxresdefault.jpg
qvG7TDnzuf0,1,https://i.ytimg.com/vi/qvG7TDnzuf0/maxresdefault.jpg
clzqH8jXlhY,1,https://i.ytimg.com/vi/clzqH8jXlhY/hqdefault.jpg
SV_4nhfKKYo,1,https://i.ytimg.com/vi/SV_4nhfKKYo/maxresdefault.jpg
apXcI7QnTzk,1,https://i.ytimg.com/vi/apXcI7QnTzk/maxresdefault.jpg
ioT5aRzPWFY,1,https://i.ytimg.com/vi/ioT5aRzPWFY/maxresdefault.jpg
p5TUdv4G1K0,1,https://i.ytimg.com/vi/p5TUdv4G1K0/maxresdefault.jpg
dnsVDw5NqPs,1,https://i.ytimg.com/vi/dnsVDw5NqPs/maxresdefault.jpg
Jko7MDeAzzo,1,https://i.ytimg.com/vi/Jko7MDeAzzo/maxresdefault.jpg
umbpntB65uc,1,https://i.ytimg.com/vi/umbpntB65uc/maxresdefault.jpg
82hRKeuZav0,1,https://i.ytimg.com/vi/82hRKeuZav0/maxresdefault.jpg
1XgVTx4j4c0,1,https://i.ytimg.com/vi/1XgVTx4j4c0/maxresdefault.jpg
vg4q_ejhhAU,1,https://i.ytimg.com/vi/vg4q_ejhhAU/maxresdefault.jpg
0JpsZlHi7I8,1,https://i.ytimg.com/vi/0JpsZlHi7I8/hqdefault.jpg
01OB6mhkPKg,1,https://i.ytimg.com/vi/01OB6mhkPKg/hqdefault.jpg
iPZ2auvxsTA,1,https://i.ytimg.com/vi/iPZ2auvxsTA/hqdefault.jpg
Rf65OkWNkZY,1,https://i.ytimg.com/vi/Rf65OkWNkZY/hqdefault.jpg
WqncY2XTS1I,0,https://i.ytimg.com/vi/WqncY2XTS1I/maxresdefault.jpg
pJuN1I-2238,0,https://i.ytimg.com/vi/pJuN1I-2238/maxresdefault.jpg
gM7NJWfonNE,0,https://i.ytimg.com/vi/gM7NJWfonNE/maxresdefault.jpg
LKmdhiSPw-E,0,https://i.ytimg.com/vi/LKmdhiSPw-E/maxresdefault.jpg
siixx4kZrDQ,0,https://i.ytimg.com/vi/siixx4kZrDQ/maxresdefault.jpg
UU290JVxQy8,0,https://i.ytimg.com/vi/UU290JVxQy8/maxresdefault.jpg
5chgYWe8928,0,https://i.ytimg.com/vi/5chgYWe8928/maxresdefault.jpg
kaz4QBUN7Eg,0,https://i.ytimg.com/vi/kaz4QBUN7Eg/maxresdefault.jpg
YMyt6_NNzR0,0,https://i.ytimg.com/vi/YMyt6_NNzR0/maxresdefault.jpg
qR_vpCtNcXg,0,https://i.ytimg.com/vi/qR_vpCtNcXg/maxresdefault.jpg
wsqHGfjZiQ8,0,https://i.ytimg.com/vi/wsqHGfjZiQ8/maxresdefault.jpg
JMM_T71RxAQ,0,https://i.ytimg.com/vi/JMM_T71RxAQ/hqdefault.jpg
VHQcannA1Ys,0,https://i.ytimg.com/vi/VHQcannA1Ys/maxresdefault.jpg
D1yn0R-fZVk,0,https://i.ytimg.com/vi/D1yn0R-fZVk/hqdefault.jpg
fyqX46v66R4,0,https://i.ytimg.com/vi/fyqX46v66R4/maxresdefault.jpg
cTMEKVlrTCo,0,https://i.ytimg.com/vi/cTMEKVlrTCo/maxresdefault.jpg
BdcjyF-b0Kg,0,https://i.ytimg.com/vi/BdcjyF-b0Kg/hqdefault.jpg
ad3250hp16Q,0,https://i.ytimg.com/vi/ad3250hp16Q/hqdefault.jpg
ToEllOW2r1Y,0,https://i.ytimg.com/vi/ToEllOW2r1Y/hqdefault.jpg
NxhDgURM8YQ,0,https://i.ytimg.com/vi/NxhDgURM8YQ/hqdefault.jpg
tYQY1UKDLFM,0,https://i.ytimg.com/vi/tYQY1UKDLFM/maxresdefault.jpg
PWQDccL0aXM,0,https://i.ytimg.com/vi/PWQDccL0aXM/maxresdefault.jpg
eoxJWJaA1gc,0,https://i.ytimg.com/vi/eoxJWJaA1gc/hqdefault.jpg
PCimuf6F6C8,0,https://i.ytimg.com/vi/PCimuf6F6C8/maxresdefault.jpg
7rfVE2JvLqA,0,https://i.ytimg.com/vi/7rfVE2JvLqA/maxresdefault.jpg
_vcBDMq6PkM,1,https://i.ytimg.com/vi/_vcBDMq6PkM/maxresdefault.jpg
784LEikg8_o,1,https://i.ytimg.com/vi/784LEikg8_o/maxresdefault.jpg
J90cJfKlhEY,1,https://i.ytimg.com/vi/J90cJfKlhEY/hqdefault.jpg
EkLFsL4KevU,1,https://i.ytimg.com/vi/EkLFsL4KevU/maxresdefault.jpg
_ltiL-AyRAk,0,https://i.ytimg.com/vi/_ltiL-AyRAk/maxresdefault.jpg
3gh1AdtQKWQ,0,https://i.ytimg.com/vi/3gh1AdtQKWQ/maxresdefault.jpg
BOByZjhFRmw,2,https://i.ytimg.com/vi/BOByZjhFRmw/maxresdefault.jpg
cEBNadvCJbs,2,https://i.ytimg.com/vi/cEBNadvCJbs/maxresdefault.jpg
KfArrqQtao0,2,https://i.ytimg.com/vi/KfArrqQtao0/maxresdefault.jpg
iJj_Ikx_uDY,2,https://i.ytimg.com/vi/iJj_Ikx_uDY/maxresdefault.jpg
aAtJ1zC2LPk,2,https://i.ytimg.com/vi/aAtJ1zC2LPk/maxresdefault.jpg
m6gLe45zSsw,2,https://i.ytimg.com/vi/m6gLe45zSsw/maxresdefault.jpg
-dBwZdc_c0M,2,https://i.ytimg.com/vi/-dBwZdc_c0M/hqdefault.jpg
Co0_HVab0vw,2,https://i.ytimg.com/vi/Co0_HVab0vw/maxresdefault.jpg
VBozk2qZEpg,2,https://i.ytimg.com/vi/VBozk2qZEpg/maxresdefault.jpg
PC54M2M4hB0,2,https://i.ytimg.com/vi/PC54M2M4hB0/maxresdefault.jpg
eqyDoWveDNg,2,https://i.ytimg.com/vi/eqyDoWveDNg/maxresdefault.jpg
HKSRMc7KcRw,1,https://i.ytimg.com/vi/HKSRMc7KcRw/maxresdefault.jpg
EMR6gEyF8gM,1,https://i.ytimg.com/vi/EMR6gEyF8gM/maxresdefault.jpg
Nl4Fj5Eb-ts,1,https://i.ytimg.com/vi/Nl4Fj5Eb-ts/maxresdefault.jpg
aA8yyip_RpA,1,https://i.ytimg.com/vi/aA8yyip_RpA/maxresdefault.jpg
v6Q-hhS924c,1,https://i.ytimg.com/vi/v6Q-hhS924c/maxresdefault.jpg
jk-MUqVD35o,1,https://i.ytimg.com/vi/jk-MUqVD35o/maxresdefault.jpg
bJJosnoZY0g,1,https://i.ytimg.com/vi/bJJosnoZY0g/maxresdefault.jpg
6Hx6yWDHQlg,1,https://i.ytimg.com/vi/6Hx6yWDHQlg/maxresdefault.jpg
jQi-9OC8E7w,1,https://i.ytimg.com/vi/jQi-9OC8E7w/hqdefault.jpg
UbVHmVnhShE,1,https://i.ytimg.com/vi/UbVHmVnhShE/hqdefault.jpg
wzsyoc3BKUo,1,https://i.ytimg.com/vi/wzsyoc3BKUo/maxresdefault.jpg
YEsLHLR6OTs,1,https://i.ytimg.com/vi/YEsLHLR6OTs/maxresdefault.jpg
jeFMEKN2xHQ,1,https://i.ytimg.com/vi/jeFMEKN2xHQ/maxresdefault.jpg
xeLiwdzuWLY,1,https://i.ytimg.com/vi/xeLiwdzuWLY/maxresdefault.jpg
iUegu1m2E_s,1,https://i.ytimg.com/vi/iUegu1m2E_s/maxresdefault.jpg
1u_f-YIsNMs,1,https://i.ytimg.com/vi/1u_f-YIsNMs/maxresdefault.jpg
OUNMYnfhatA,1,https://i.ytimg.com/vi/OUNMYnfhatA/maxresdefault.jpg
o24YcDTKA-4,1,https://i.ytimg.com/vi/o24YcDTKA-4/maxresdefault.jpg
zi2tTCpIPg0,1,https://i.ytimg.com/vi/zi2tTCpIPg0/maxresdefault.jpg
oNPIoaW77Mg,1,https://i.ytimg.com/vi/oNPIoaW77Mg/maxresdefault.jpg
